,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300533,冰川网络,0.68,,,11.95,,5076.05,,,07-29
1,300535,达威股份,0.18,,,,,799.14,,,07-28
2,601997,贵阳银行,0.38,,,,,67477.7,,,07-27
3,002807,江阴银行,0.13,,,3.15,,19883.8,,,07-26
4,600936,广西广电,0.1,,,,,13337.77,,,07-26
5,603843,正平股份,-0.05,,,-1.54,,-960.51,,,07-25
6,002808,苏州恒久,0.09,,,3.08,,827.07,,,07-25
7,603569,长久物流,0.19,,,8.44,,6738.68,,,07-21
8,300528,幸福蓝海,0.13,,,2.46,,2938.09,,,07-18
9,300529,健帆生物,0.1,,,8.22,,3782.64,,,07-14
10,603322,超讯通信,-0.02,-118.18,,-0.62,,-124.62,-118.81,,07-14
11,300526,中潜股份,,,,,,574.14,,,07-13
12,002806,华锋股份,,,,0.12,,23.93,,,07-12
13,603663,三祥新材,0.06,,,2.82,,628.8,,,07-11
14,300522,世名科技,0.23,,,6.27,0.02,1167.94,,,07-04
15,300521,爱司凯,0.08,,,2.42,,458.08,,,06-22
16,002803,吉宏股份,0.05,,,1.87,,453.52,,,06-22
17,002805,丰元股份,0.19,,,3.58,,1361.19,,,06-20
18,300520,科大国创,-0.03,,,-1.0,,-219.84,,,06-20
19,603016,新宏泰,0.13,,,3.51,,1401.75,,,06-08
20,603958,哈森股份,0.27,,,,,4451.93,,,06-07
21,002802,洪汇新材,0.11,,,,,893.69,,,06-07
22,002801,微光股份,0.35,,,4.53,0.28,1547.97,,,06-07
23,300519,新光药业,,,,,,3848.76,,,06-06
24,300517,海波重科,0.07,,,2.0,,557.65,,,06-06
25,300518,盛讯达,0.21,,,3.63,,1455.43,,,06-06
26,300515,三德科技,-0.02,,,,,-175.76,,,05-20
27,603339,四方冷链,0.19,,,4.69,0.57,2984.14,,,05-18
28,002800,天顺股份,0.04,,,0.88,,215.02,,,05-17
29,300516,久之洋,0.21,,,6.09,-0.44,1849.4,,,05-16
30,603737,三棵树,-0.28,,,-4.69,,-2117.83,,,05-16
31,603779,威龙股份,0.04,,,,,611.55,,,05-13
32,002797,第一创业,0.11,,,4.12,0.74,21844.89,,,05-10
33,002796,世嘉科技,0.11,,,2.86,0.06,676.14,,,05-09
34,300510,金冠电气,0.08,,,1.85,-0.01,499.0,,,05-05
35,603101,汇嘉时代,0.12,,,3.79,0.37,2148.13,,,05-05
36,603022,新通联,0.15,,,3.22,,892.2,,,04-30
37,603979,金诚信,0.16,,,2.5,,4560.14,,,04-30
