opDate,Unnamed: 0,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
2010-03-31,184,5824813,5866316,2900,24142,3100,5848955
2010-04-01,183,6842114,1054024,2200,17325,0,6859439
2010-04-02,182,6762781,207516,1500,11929,0,6774710
2010-04-06,181,10091243,3329461,1400,10267,0,10101510
2010-04-07,180,25086826,15141395,2800,38418,1400,25125244
2010-04-08,179,30233781,5147142,1400,10110,0,30243891
2010-04-09,178,50663640,22077191,1400,10197,0,50673837
2010-04-12,177,89060984,40376602,1400,10092,5000,89071076
2010-04-13,176,92169145,17444196,5200,211445,3900,92380590
2010-04-14,175,89480507,7964900,5100,212231,0,89692738
2010-04-15,174,103099287,20916787,6200,271214,1100,103370501
2010-04-16,173,121064474,25841176,24500,1198858,19300,122263332
2010-04-19,172,112783831,8395193,22000,1031561,1500,113815392
2010-04-20,171,116673356,5706716,33400,1638860,525900,118312216
2010-04-21,170,127565065,14384413,110300,2513143,97300,130078208
2010-04-22,169,157219058,32603174,135400,2932237,192400,160151295
2010-04-23,168,152902064,17574818,137600,2830321,15700,155732385
2010-04-26,167,182090321,35141973,278900,11042183,193800,193132504
2010-04-27,166,202494937,29621581,142500,2758191,76000,205253128
2010-04-28,165,223249365,31144701,136600,2709735,2100,225959100
2010-04-29,164,233030157,27561491,137763,2847328,12363,235877485
2010-04-30,163,235526412,27804556,130863,2551528,20400,238077940
2010-05-04,162,242846863,21944030,200763,3519010,116400,246365873
2010-05-05,161,277495916,50597915,286963,5144755,101100,282640671
2010-05-06,160,314003383,55666699,183263,3286323,15400,317289706
2010-05-07,159,309938569,48359014,204363,4275122,59300,314213691
2010-05-10,158,327370089,36414703,310636,6273327,181436,333643416
2010-05-11,157,350667983,47067392,302868,6053063,144200,356721046
2010-05-12,156,376113669,43090277,357000,6718753,246200,382832422
2010-05-13,155,393357604,43516642,420400,8409102,156800,401766706
2010-05-14,154,415983876,43883229,391106,6807124,296106,422791000
2010-05-17,153,473201524,74027562,304500,4442929,24200,477644453
2010-05-18,152,467622771,32532723,291000,5137036,135000,472759807
2010-05-19,151,475810742,28129781,374900,5307357,224067,481118099
2010-05-20,150,486806982,32023540,768093,9010047,727990,495817029
2010-05-21,149,503728469,51052980,389690,8942658,346500,512671127
2010-05-24,148,534671504,76158631,1559490,14057930,1226200,548729434
2010-05-25,147,562759014,56337279,485200,10017758,146900,572776772
2010-05-26,146,565966886,17672866,474000,9060668,48300,575027554
2010-05-27,145,604281887,69689203,310600,5436101,26200,609717988
2010-05-28,144,633696229,56487576,239300,4162822,45000,637859051
2010-05-31,143,629837529,37471239,1974600,10343585,1810900,640181114
2010-06-01,142,639998626,41486233,2343493,12838683,435931,652837309
2010-06-02,141,653397284,27207650,2342631,12525827,44600,665923111
2010-06-03,140,675126222,38752924,2434617,14194808,147786,689321030
2010-06-04,139,680721701,31729497,2472131,14822564,119400,695544265
2010-06-07,138,685693950,28140634,281931,6756505,98200,692450455
2010-06-08,137,697311113,34230923,241031,4737840,87500,702048953
2010-06-09,136,785253681,126771313,409431,9413470,281700,794667151
2010-06-10,135,793255677,41796850,347231,7456056,105400,800711733
2010-06-11,134,782619926,44972146,334618,7216554,56218,789836480
2010-06-17,133,802191743,35258695,334518,6931429,41900,809123172
