,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2014-12-31,690304859709,80629221496,1033591309,6213794573,1501441714,696518654282
1,2014-12-30,691781993774,76341827158,956068448,5620343498,1410191883,697402337272
2,2014-12-29,687678463441,102445925919,921606454,5485660125,1498505294,693164123566
3,2014-12-26,678646298701,87566428865,908219276,5392786771,1569099080,684039085472
4,2014-12-25,672974233665,66548637889,884652636,5075978446,1692348394,678050212111
5,2014-12-24,667220851499,60785434137,783877016,4423264212,1386061393,671644115711
6,2014-12-23,669005263570,68088717135,847853767,4905506876,1286459935,673910770446
7,2014-12-22,670595742509,96086844112,890122025,5146324106,1413056150,675742066615
8,2014-12-19,667260348402,87986460410,859906608,4990159015,1622112746,672250507417
9,2014-12-18,657356997782,86108084304,872698179,5116335254,1566415717,662473333036
10,2014-12-17,648449628389,105662386619,865219858,5036994474,1821400330,653486622863
11,2014-12-16,637958256722,92376303515,853613379,4957962271,1765606520,642916218993
12,2014-12-15,628731166297,76617552763,814475178,4669814929,1349573360,633400981226
13,2014-12-12,619376064853,73760055817,815521523,4628969709,1325624254,624005034562
14,2014-12-11,617381768756,81319089922,854689464,4817034195,1443866814,622198802951
15,2014-12-10,614042935191,92619534535,841858350,4845585561,1616220166,618888520752
16,2014-12-09,605492638583,121843297582,914927637,5039482033,1591762695,610532120616
17,2014-12-08,595995563719,114513688894,995831230,5686867709,1709393286,601682431428
18,2014-12-05,575483801438,113474295457,892615083,5035049577,1540867053,580518851015
19,2014-12-04,569429142951,105227574155,941956620,5252685856,1573490018,574681828807
20,2014-12-03,552052549201,99700572568,903194391,4791756429,1448412944,556844305630
21,2014-12-02,545712569004,76886420448,923073399,4828937503,1541232526,550541506507
22,2014-12-01,538392930415,77440824794,921040710,4568075249,1378086937,542961005664
23,2014-11-28,528992449890,77397865373,889100209,4426133104,1491509405,533418582994
24,2014-11-27,522913808670,67309594520,805062141,4099983450,1303976656,527013792120
25,2014-11-26,518602496677,67013032917,755040399,3830675045,1220782039,522433171722
