date,open,high,close,low,volume,amount
2012-11-19,1713.12,1735.67,1732.07,1713.12,0,0
2012-11-20,1731.55,1735.52,1728.07,1721.99,0,0
2012-11-21,1727.6,1731.94,1728.84,1719.53,0,0
2012-11-22,1728.45,1732.52,1729.51,1727.9,0,0
2012-11-23,1729.1,1754.33,1746.99,1727.86,0,0
2012-11-26,1750.7,1752.16,1748.52,1745.85,0,0
2012-11-27,1748.62,1751.7,1741.89,1740.39,0,0
2012-11-28,1742.12,1743.04,1719.24,1705.81,0,0
2012-11-29,1719.12,1728.35,1725.45,1717.88,0,0
2012-11-30,1725.64,1731.62,1714.59,1708.36,0,0
2012-12-03,1714.38,1722.33,1715.84,1712.3,0,0
2012-12-04,1715.71,1717.26,1696.72,1691.26,0,0
2012-12-05,1697.4,1706.79,1693.59,1684.88,0,0
2012-12-06,1693.68,1703.14,1699.09,1685.9,0,0
2012-12-07,1699.66,1705.4,1703.27,1684.23,0,0
2012-12-10,1703.69,1717.28,1712.34,1702.61,0,0
2012-12-11,1712.81,1714.3,1709.91,1704.83,0,0
2012-12-12,1709.89,1723.21,1711.98,1707.2,0,0
2012-12-13,1711.42,1711.48,1696.37,1689.48,0,0
2012-12-14,1696.71,1700.19,1695.19,1693.34,0,0
2012-12-17,1693.86,1699.77,1698.26,1686.47,0,0
2012-12-18,1698.02,1703.1,1671.71,1660.89,0,0
2012-12-19,1671.05,1676.8,1667.97,1663.39,0,0
2012-12-20,1666.97,1671.7,1648.04,1635.69,0,0
2012-12-21,1647.28,1659.61,1655.7,1635.54,0,0
2012-12-24,1656.78,1665.74,1658.22,1651.84,0,0
2012-12-25,1658.22,1658.25,1654,1647.56,0,0
2012-12-26,1654.5,1667.73,1659.31,1650.19,0,0
2012-12-27,1659.83,1665.34,1663.8,1652.65,0,0
2012-12-28,1663.82,1666.23,1654.77,1653.53,0,0
2012-12-31,1655.6,1680.31,1673.82,1655.28,0,0
2013-01-01,1675.17,1675.64,1674.94,1674.55,0,0
2013-01-02,1674.11,1694.74,1685.73,1670.22,0,0
2013-01-03,1686.55,1689.93,1663.08,1660.74,0,0
2013-01-04,1663.25,1664.11,1656.77,1625.72,0,0
2013-01-07,1655.97,1662.46,1647.2,1642.66,0,0
2013-01-08,1646.96,1662.52,1658.88,1645.99,0,0
2013-01-09,1658.84,1665.81,1657.7,1651.37,0,0
2013-01-10,1657.5,1678.62,1673.85,1653.73,0,0
2013-01-11,1674.96,1676.8,1661.92,1653.55,0,0
2013-01-14,1662.12,1674.82,1667.35,1658.86,0,0
2013-01-15,1667.49,1685.04,1679.25,1665.62,0,0
2013-01-16,1679.28,1684.82,1680.03,1673.55,0,0
2013-01-17,1679.82,1696.7,1688.09,1666.68,0,0
2013-01-18,1687.51,1694.99,1684.68,1683.57,0,0
2013-01-21,1683.46,1691.3,1689.93,1683.37,0,0
2013-01-22,1690.01,1695.94,1691.84,1686.62,0,0
2013-01-23,1692.19,1695.06,1685.74,1683.65,0,0
2013-01-24,1686.02,1686.2,1668.37,1665,0,0
2013-01-25,1667.82,1672.26,1658.96,1655.9,0,0
2013-01-28,1658.8,1662.3,1655.59,1651.9,0,0
2013-01-29,1655.39,1666.07,1663.2,1654.03,0,0
2013-01-30,1663.55,1683.75,1676.28,1662.64,0,0
2013-01-31,1676.83,1680.66,1663.36,1657.74,0,0
2013-02-01,1663.45,1682.05,1666.83,1659.95,0,0
2013-02-04,1666.52,1677.54,1674.33,1661.55,0,0
2013-02-05,1674.11,1684.86,1672.34,1666.64,0,0
2013-02-06,1672.68,1679.61,1677.46,1668.08,0,0
2013-02-07,1677.44,1683.19,1671.08,1663.24,0,0
2013-02-08,1671.43,1673.55,1667.62,1665,0,0
2013-02-11,1666.56,1669.5,1649.31,1643.64,0,0
2013-02-12,1647.77,1653.24,1651.11,1639.05,0,0
2013-02-13,1650.87,1653.46,1642.47,1640.36,0,0
2013-02-14,1642.23,1649.98,1634.83,1632.65,0,0
2013-02-15,1634.41,1635.95,1607.93,1597.82,0,0
2013-02-18,1609.2,1618.69,1609.1,1606.9,0,0
2013-02-19,1609.1,1615.08,1604.87,1600.63,0,0
2013-02-20,1604.49,1609.45,1563.71,1558.47,0,0
2013-02-21,1563.6,1584.88,1576,1554.84,0,0
2013-02-22,1576.14,1587.03,1580.14,1569.92,0,0
2013-02-25,1580.52,1596.9,1594,1575.05,0,0
2013-02-26,1593.4,1619.45,1614.19,1584.38,0,0
2013-02-27,1613.52,1614.77,1597.51,1592.29,0,0
2013-02-28,1597.1,1602.89,1580.65,1574.77,0,0
2013-03-01,1579.65,1587.26,1575.54,1564.74,0,0
2013-03-04,1575.32,1584.87,1573.26,1569.26,0,0
2013-03-05,1573.6,1586.45,1575.75,1571.89,0,0
2013-03-06,1575.16,1584.64,1582.99,1567.31,0,0
2013-03-07,1583.5,1585.48,1578.3,1574.81,0,0
2013-03-08,1578.61,1583.59,1578.07,1561.51,0,0
2013-03-11,1578.42,1583.13,1580.77,1575.31,0,0
2013-03-12,1580.74,1598.37,1592.05,1579.9,0,0
2013-03-13,1592.53,1599.17,1587.3,1585.48,0,0
2013-03-14,1587.14,1593.26,1589.55,1577.03,0,0
2013-03-15,1590.39,1598.68,1591.8,1588.46,0,0
2013-03-18,1595,1611.06,1604.05,1591.54,0,0
2013-03-19,1604.79,1615.6,1608.92,1599.89,0,0
2013-03-20,1611.7,1614.81,1606.2,1602.53,0,0
2013-03-21,1606.13,1616.58,1612.85,1604.3,0,0
2013-03-22,1612.45,1616.04,1603.3,1603.3,0,0
2013-03-25,1603.3,1613.55,1604.55,1589.8,0,0
2013-03-26,1604,1606.03,1597.3,1594.55,0,0
2013-03-27,1597.05,1608.19,1602.21,1591.24,0,0
2013-03-28,1604.99,1607.59,1595.4,1593.85,0,0
2013-03-29,1602.36,1605,1597.5,1594.05,0,0
2013-04-01,1596.29,1601.03,1598.69,1594.63,0,0
2013-04-02,1598.7,1603.86,1575.7,1573.65,0,0
2013-04-03,1575.7,1577.18,1557.34,1549.71,0,0
2013-04-04,1557.37,1559.59,1553,1539.98,0,0
2013-04-05,1552.83,1581.11,1580.7,1549.17,0,0
2013-04-08,1580.16,1582.94,1572.4,1567.22,0,0
2013-04-09,1572.28,1590.38,1584.74,1570.29,0,0
2013-04-10,1584.45,1588.58,1558.95,1555.66,0,0
2013-04-11,1558.8,1568.25,1560.11,1553.28,0,0
2013-04-12,1559.68,1564.61,1480.38,1480.35,0,0
2013-04-15,1478.77,1495.5,1351.75,1335.36,0,0
2013-04-16,1351.7,1402.21,1368,1321.37,0,0
2013-04-17,1367.8,1394.93,1377.05,1364.75,0,0
2013-04-18,1376.85,1401.98,1390.75,1336.66,0,0
2013-04-19,1390.65,1424.93,1405.61,1385.71,0,0
2013-04-22,1405.71,1438.89,1425.15,1403.52,0,0
2013-04-23,1424.8,1432.68,1412.5,1404.71,0,0
2013-04-24,1411.99,1433.62,1430.55,1411.98,0,0
2013-04-25,1430.35,1468.88,1465.79,1426.85,0,0
2013-04-26,1465.8,1485.25,1462.21,1448.05,0,0
2013-04-29,1463.57,1478.72,1473.95,1462.02,0,0
2013-04-30,1474.39,1480.2,1475.25,1460.98,0,0
2013-05-01,1474.7,1477.84,1455.9,1440.29,0,0
2013-05-02,1455.72,1473.5,1466.35,1448.62,0,0
2013-05-03,1466.14,1488.01,1470.19,1456.26,0,0
2013-05-06,1470.25,1478.81,1469.48,1464.46,0,0
2013-05-07,1469.3,1470.61,1452.01,1441.36,0,0
2013-05-08,1451.89,1476.42,1473.51,1447.48,0,0
2013-05-09,1473.16,1475.69,1457.19,1453.33,0,0
2013-05-10,1457.27,1462.1,1447.2,1419.55,0,0
2013-05-13,1448.84,1448.84,1430.3,1425.81,0,0
2013-05-14,1430.29,1445.35,1424.6,1421.16,0,0
2013-05-15,1425.65,1430.8,1392.33,1388.7,0,0
2013-05-16,1392.37,1398.02,1385.78,1369.63,0,0
2013-05-17,1386.79,1393.01,1359.6,1355.04,0,0
2013-05-20,1359.55,1399.01,1392.89,1337.98,0,0
2013-05-21,1392.96,1401.37,1375.25,1359.59,0,0
2013-05-22,1375.18,1413.72,1369.49,1354.74,0,0
2013-05-23,1369.53,1397.81,1390.94,1356.63,0,0
2013-05-24,1390.94,1398.07,1386.49,1382.18,0,0
2013-05-27,1386.4,1396.47,1394.58,1384.19,0,0
2013-05-28,1393.86,1401.6,1380.05,1373.54,0,0
2013-05-29,1380.05,1395.08,1390.1,1379.98,0,0
2013-05-30,1390.18,1417.91,1413.19,1388.7,0,0
2013-05-31,1412.45,1421.79,1387.72,1384.62,0,0
2013-06-03,1387.74,1416.88,1405.17,1387.56,0,0
2013-06-04,1410.53,1415.04,1397.56,1388.97,0,0
2013-06-05,1397.55,1410.28,1401.41,1395.64,0,0
2013-06-06,1401.75,1423.75,1411.09,1391.55,0,0
2013-06-07,1411.2,1416.87,1384.1,1377.68,0,0
2013-06-10,1383.53,1388.89,1386.3,1375.84,0,0
2013-06-11,1379.58,1387.35,1377.99,1366.25,0,0
2013-06-12,1377.4,1394.41,1388.65,1373.74,0,0
2013-06-13,1388.1,1394.86,1382.72,1374.41,0,0
2013-06-14,1384.19,1392.11,1390.71,1378.01,0,0
2013-06-17,1390.39,1391.9,1381.12,1380.5,0,0
2013-06-18,1383.25,1383.45,1365.81,1360.97,0,0
2013-06-19,1366.8,1376.61,1350.6,1348.95,0,0
2013-06-20,1350.9,1351.29,1277.62,1275.84,0,0
2013-06-21,1277.95,1302.41,1297.89,1269.3,0,0
2013-06-24,1283.56,1290.87,1282.49,1276.09,0,0
2013-06-25,1282.5,1289.45,1277.59,1271.57,0,0
2013-06-26,1277.5,1278.05,1223.62,1221.67,0,0
2013-06-27,1224,1244.55,1199.88,1197.03,0,0
2013-06-28,1198.78,1235.13,1234.21,1180.1,0,0
2013-07-01,1234.35,1261.52,1252.6,1225.19,0,0
2013-07-02,1252.28,1267.3,1242.68,1239.52,0,0
2013-07-03,1242.31,1259.86,1252.03,1236.63,0,0
2013-07-04,1252.28,1257.79,1247.01,1244.45,0,0
2013-07-05,1246.4,1250.57,1222.85,1208.23,0,0
2013-07-08,1222.85,1238.42,1234.18,1215.56,0,0
2013-07-09,1234.42,1260.23,1251,1233.42,0,0
2013-07-10,1251,1265.71,1260.1,1243.84,0,0
2013-07-11,1263.08,1298.73,1285.12,1262.75,0,0
2013-07-12,1284.79,1288.56,1284.2,1267.73,0,0
2013-07-15,1284.3,1294.55,1284.66,1274,0,0
2013-07-16,1284.41,1295.49,1291.74,1277.02,0,0
2013-07-17,1291.87,1299.54,1276.06,1270.05,0,0
2013-07-18,1275.36,1288.46,1283.48,1273.47,0,0
2013-07-19,1284.06,1297.68,1294.94,1282.19,0,0
2013-07-22,1295.67,1339.25,1335.07,1295.67,0,0
2013-07-23,1335.5,1346.69,1343.3,1326.62,0,0
2013-07-24,1345.32,1347.37,1321.93,1312.88,0,0
2013-07-25,1321.92,1337.74,1332.86,1308.8,0,0
2013-07-26,1333.31,1340.52,1333.29,1312.4,0,0
2013-07-29,1332.66,1338.2,1328.05,1322.74,0,0
2013-07-30,1327.9,1330,1326.29,1318.01,0,0
2013-07-31,1326.28,1338.93,1323.76,1306.08,0,0
2013-08-01,1324.86,1330.9,1310.83,1307.58,0,0
2013-08-02,1310.6,1318.35,1311.98,1282.98,0,0
2013-08-05,1311.78,1320.45,1302.99,1297.34,0,0
2013-08-06,1302.77,1306.98,1283.1,1279.24,0,0
2013-08-07,1282.71,1289.34,1286.99,1272.86,0,0
2013-08-08,1286.95,1314.21,1312.19,1282.86,0,0
2013-08-09,1313.07,1317.13,1314.05,1304.91,0,0
2013-08-12,1314.35,1343.71,1335.85,1314.29,0,0
2013-08-13,1337.01,1341.36,1321.52,1318.78,0,0
2013-08-14,1321.29,1335.85,1335,1315.91,0,0
2013-08-15,1336.14,1369.92,1364.32,1318.8,0,0
2013-08-16,1365.6,1379.64,1373.82,1357.69,0,0
2013-08-19,1376.5,1384.42,1365.72,1362.28,0,0
2013-08-20,1365.7,1377.4,1371.05,1352.21,0,0
2013-08-21,1370.98,1378.94,1366.58,1359.75,0,0
2013-08-22,1366.31,1381.62,1375.28,1354.84,0,0
2013-08-23,1375.66,1400.1,1396.91,1368.59,0,0
2013-08-26,1389.11,1406.71,1403.07,1389.11,0,0
2013-08-27,1404.15,1423.64,1415.44,1395.49,0,0
2013-08-28,1414.6,1433.61,1417.01,1413.39,0,0
2013-08-29,1417.54,1418.35,1407.72,1402.54,0,0
2013-08-30,1407.4,1411.06,1394.3,1391.95,0,0
2013-09-02,1387.67,1398.1,1391.1,1373.48,0,0
2013-09-03,1390.9,1416.27,1413.02,1384.33,0,0
2013-09-04,1412.36,1414.93,1393.16,1384.62,0,0
2013-09-05,1391.05,1399.73,1367.61,1365.1,0,0
2013-09-06,1367.52,1393.24,1389.35,1358.72,0,0
2013-09-09,1391.38,1394.02,1386.38,1381.98,0,0
2013-09-10,1386.64,1390.73,1363.45,1357.76,0,0
2013-09-11,1363.31,1368.51,1365.04,1356.72,0,0
2013-09-12,1365.04,1366.02,1321.47,1321.27,0,0
2013-09-13,1321.56,1330.81,1324.77,1304.84,0,0
2013-09-16,1326.4,1334.53,1306.38,1303.23,0,0
2013-09-17,1311.59,1323.87,1310.12,1305.66,0,0
2013-09-18,1310.13,1367.35,1364.46,1291.61,0,0
2013-09-19,1362.98,1375.15,1365.1,1358.43,0,0
2013-09-20,1365.72,1368.3,1326.45,1324.69,0,0
2013-09-23,1325.71,1331.67,1322.05,1313.34,0,0
2013-09-24,1322.25,1329.18,1323.71,1305.8,0,0
2013-09-25,1322.98,1338.05,1332.87,1316.45,0,0
2013-09-26,1334.09,1339.2,1323.33,1318.68,0,0
2013-09-27,1323.74,1343.81,1336.45,1319.65,0,0
2013-09-30,1335.85,1351.58,1328.12,1322.7,0,0
2013-10-01,1328.7,1337.34,1288.72,1282.17,0,0
2013-10-02,1287.26,1323.72,1316.62,1277.61,0,0
2013-10-03,1315.76,1321.95,1316.37,1301.63,0,0
2013-10-04,1316.5,1324.8,1309.92,1305.82,0,0
2013-10-07,1310.74,1327.33,1322,1308.41,0,0
2013-10-08,1322.52,1329.68,1319.37,1315.81,0,0
2013-10-09,1318.76,1321.88,1304.2,1295.13,0,0
2013-10-10,1304.89,1311.59,1284.44,1282.05,0,0
2013-10-11,1286.95,1294.38,1270.16,1261.68,0,0
2013-10-14,1271.83,1289.74,1271.38,1268.43,0,0
2013-10-15,1271.77,1287.55,1280.99,1251.59,0,0
2013-10-16,1282.67,1287.96,1280.2,1269.11,0,0
2013-10-17,1282.2,1324.27,1319.9,1274.38,0,0
2013-10-18,1319.88,1326.98,1315.78,1311.68,0,0
2013-10-21,1315.95,1324.04,1315.62,1313,0,0
2013-10-22,1315.8,1344.76,1340.24,1310.11,0,0
2013-10-23,1339.92,1342.15,1333.04,1329.12,0,0
2013-10-24,1333.13,1351.96,1346.67,1330.17,0,0
2013-10-25,1346.38,1355.7,1351.48,1336.45,0,0
2013-10-28,1351,1361.76,1352.62,1346.24,0,0
2013-10-29,1352.29,1360.54,1345.07,1340.07,0,0
2013-10-30,1344.64,1359.57,1344.27,1334.52,0,0
2013-10-31,1344.3,1344.47,1323.66,1319.01,0,0
2013-11-01,1322.74,1327.42,1314.7,1306.04,0,0
2013-11-04,1315.5,1322.36,1313.4,1311.19,0,0
2013-11-05,1313.72,1319.68,1310.64,1305.93,0,0
2013-11-06,1310.91,1322,1318.33,1309,0,0
2013-11-07,1317.56,1326.03,1305.49,1296.59,0,0
2013-11-08,1306.56,1313.7,1286.84,1280.99,0,0
2013-11-11,1288.26,1288.64,1283.24,1278.99,0,0
2013-11-12,1283.6,1285.2,1266.88,1261.33,0,0
2013-11-13,1274.06,1279.66,1273.79,1268.18,0,0
2013-11-14,1273.19,1294.19,1286.82,1272.87,0,0
2013-11-15,1287.8,1291.11,1286.81,1280.27,0,0
2013-11-18,1288.64,1289.42,1272.96,1269.89,0,0
2013-11-19,1273.64,1278.65,1274.04,1269.03,0,0
