date,open,high,close,low,volume,amount
2012-11-19,109.24,109.51,109.44,109.19,918,0
2012-11-20,111.8,111.85,110.49,109.01,236654,0
2012-11-21,110.49,111.46,111.1,109.55,192505,0
2012-11-22,110.97,111.17,110.55,110.11,55283,0
2012-11-23,110.47,111.54,111.38,110.1,103820,0
2012-11-26,111.16,111.48,110.77,110.27,134462,0
2012-11-27,111,111.36,110,109.31,177981,0
2012-11-28,109.95,110.17,109.64,108.44,192860,0
2012-11-29,109.7,111.3,110.42,109.45,254893,0
2012-11-30,110.35,111.34,111.19,110.25,162848,0
2012-12-03,110.96,112.33,110.88,110.6,195633,0
2012-12-04,110.92,110.92,109.86,109.15,213906,0
2012-12-05,109.87,110.57,108.82,108.64,184631,0
2012-12-06,108.63,109.16,107.05,106.63,215243,0
2012-12-07,107.05,107.89,107.23,106.66,181182,0
2012-12-10,107.3,108.54,107.36,107.01,168547,0
2012-12-11,107.45,108.37,108.2,107.09,160053,0
2012-12-12,108.14,110.5,109.46,108.14,169419,0
2012-12-13,107.95,108.13,106.5,106.38,188654,0
2012-12-14,106.62,108.31,108.28,106.55,169485,0
2012-12-17,108.3,108.5,108.12,107.58,128996,0
2012-12-18,107.98,108.98,108.95,107.93,137261,0
2012-12-19,108.9,110.48,110.21,108.74,162348,0
2012-12-20,110.1,110.66,110.21,109.7,136503,0
2012-12-21,110.2,110.28,109.15,108.66,132626,0
2012-12-24,109.02,109.22,109.06,108.13,49454,0
2012-12-26,109.15,111.52,111.18,109,74917,0
2012-12-27,110.78,111.33,110.97,110.1,104672,0
2012-12-28,111.24,111.38,110.47,109.83,117886,0
2012-12-31,110.35,111.34,111.27,109.38,98644,0
2013-01-02,111.5,112.9,112.57,111.27,182875,0
2013-01-03,112.2,112.42,111.99,111.63,190094,0
2013-01-04,111.72,111.78,111.38,110.38,191320,0
2013-01-07,111.42,111.69,111.58,110.54,203454,0
2013-01-08,111.42,112.47,112.06,111.12,193363,0
2013-01-09,111.9,112.23,111.68,111.11,171865,0
2013-01-10,111.68,113.29,111.77,111.6,196963,0
